Candidate,S1,S3,PT1S1,PT1S3,PT2S1,PT2S3
Murphy,68,67,54,62,48,58
Lungs,64,70,53,78,53,62
theblackcat,,82,,69,49,70
kmason06,,,58,57,,
whiterabbit,68,89,56,,56,88
Kinnsa,61,63,43,50,54,58
edithjane,62,56,61,69,58,48
yrrah22,62,68,52,76,58,67
theslacker (2013),66,90,60,102,,
theslacker (2014),73,93,,,,
Santa's Little Helper,61,66,64,64,63,66
pigboot,65,80,56,81,56,74
ChairmanX!,72,75,61,69,,
emilymac,73,71,64,67,56,58
farmacist,50,47,41,72,49,58
marathi,51,50,48,57.2,52.5,52.8
fuzzy 2014,59,68,54,74.8,52.5,64.9
thumper,57,60,51,70.4,50.25,51.7
jane,68,63,56,78,70,84
monkeyaround,71,94,64,97,65,101
pippalice,69,89,66,96,69,100
captain amazing,59,69,55,45,55,82
irathesquire,,89,,83,,83
mim,57,62,58,57,,
JamieBrown,60,75,54,79,54,70
Ches 2011,73,87,67,87,65,94
Ches 2015,78,85,70,92,62,96
